collocation,count,count_nested,length,lambda,z
are unable,2,0,2,3.411304648246044,4.735185267678387
on numerous,2,0,2,3.5266353144720237,4.733800147003803
an end,2,0,2,3.0904627615341345,4.728558732487122
i don't,3,0,2,2.6950206106996393,4.727962320934421
the swamp,6,0,2,4.281844730725503,4.726332903535645
votes on,3,0,2,2.72906612765616,4.725957341613685
abe and,4,0,2,2.552642674946061,4.725928000090953
false and,4,0,2,2.552642674946061,4.725928000090953
the @washingtonpost,5,0,2,3.6037234813776307,4.723541063393371
distract from,2,0,2,7.323157800717056,4.723215617793897
lessons from,2,0,2,7.323157800717056,4.723215617793897
doing their,3,0,2,2.5926595497910263,4.721929769573979
STAND for,2,0,2,4.878579940573405,4.721360702379087
begging for,2,0,2,4.878579940573405,4.721360702379087
field for,2,0,2,4.878579940573405,4.721360702379087
presidents for,2,0,2,4.878579940573405,4.721360702379087
first meeting,2,0,2,3.062861896583538,4.719903132481016
for congressman,2,0,2,3.7232114664330234,4.716299179336169
it again,4,0,2,2.3008324523386894,4.715119593742793
if you,5,0,2,2.0636365482119903,4.7150376787635295
women in,6,0,2,1.9584522474818997,4.713077398312227
currently on,2,0,2,3.4447020132239947,4.711395198462582
is already,4,0,2,2.4124662713879497,4.710640209113833
is why,4,0,2,2.4124662713879497,4.710640209113833
your jobs,2,0,2,3.0550847054442434,4.705150011241207
right for,5,0,2,2.114113669115098,4.70488583173894
using the,5,0,2,2.5754494184330223,4.704042214783172
has finally,2,0,2,3.1136025882852723,4.702396973717557
to tell,5,0,2,2.3351811876449036,4.701157534224641
if republican,2,0,2,3.0564908366575434,4.701016528554697
new high,2,0,2,3.057207690640827,4.699580748090216
leaders this,2,0,2,3.1040106807784342,4.699192749155466
remember this,2,0,2,3.1040106807784342,4.699192749155466
are taking,3,0,2,2.6903023741630765,4.698295430140363
melania has,2,0,2,3.094830177258882,4.695107770520665
hope you,2,0,2,3.1460828654863313,4.694538225097591
mexico is,4,0,2,2.3904094843608337,4.692753735411903
chrysler is,2,0,2,4.199101935643103,4.692147666600082
dream is,2,0,2,4.199101935643103,4.692147666600082
job he,2,0,2,3.0460209233709845,4.689247158295571
to move,4,0,2,2.734989841785571,4.688605725373973
pompeo for,2,0,2,3.579244802144639,4.688235983115839
price for,2,0,2,3.579244802144639,4.688235983115839
said no,2,0,2,3.0499078080044013,4.6856614202494455
we look,4,0,2,2.3196784799473313,4.685428915565641
for u.s.a,3,0,2,2.7612168901217955,4.68537097263266
to look,8,0,2,1.7626396439411236,4.6845247785361215
senate will,4,0,2,2.3115215046186184,4.68425517727581
not smart,2,0,2,3.119409213594218,4.6830443481610144
not use,2,0,2,3.119409213594218,4.6830443481610144
fault of,3,0,2,4.569637672601273,4.681112640812344
purpose of,3,0,2,4.569637672601273,4.681112640812344
biased and,3,0,2,3.103234669452066,4.677669613724631
chairman of,3,0,2,3.103234669452066,4.677669613724631
cities and,3,0,2,3.103234669452066,4.677669613724631
deficit of,3,0,2,3.103234669452066,4.677669613724631
sacrifice and,3,0,2,3.103234669452066,4.677669613724631
bless the,6,0,2,2.2086142971075025,4.675957050392321
was formed,3,0,2,7.072253546008238,4.675612583304168
day in,7,0,2,1.794334492934762,4.673874562506682
i cannot,3,0,2,2.657966344749763,4.672834495091406
going up,3,0,2,2.5579728224408314,4.672581242670661
party in,3,0,2,2.82825515107829,4.671655539146319
trillion in,3,0,2,2.82825515107829,4.671655539146319
our relationship,3,0,2,2.6973809221062894,4.6713523935287915
CUTS will,2,0,2,3.2919136551971775,4.670821764670981
story on,4,0,2,2.3237052137869445,4.6702772751947075
must support,2,0,2,3.0374314776355726,4.669897049530061
job by,3,0,2,2.572614909919846,4.6686734093652476
our COUNTRY,2,0,2,3.413054619946269,4.668274976970036
our hands,2,0,2,3.413054619946269,4.668274976970036
our prosperity,2,0,2,3.413054619946269,4.668274976970036
states should,2,0,2,3.031013552810414,4.666764462740153
for believing,2,0,2,4.821862899151243,4.666593781934739
wanted a,3,0,2,2.8250444763024207,4.666368080798863
that despite,2,0,2,3.2603648274761357,4.66468574431957
of ukraine,3,0,2,4.553562230066353,4.664665815087229
that congress,4,0,2,2.2948570509264314,4.663562265829266
to support,9,0,2,1.643929466019638,4.661749547940617
MSM is,2,0,2,3.8626166305430605,4.661549728512333
brown is,2,0,2,3.8626166305430605,4.661549728512333
code is,2,0,2,3.8626166305430605,4.661549728512333
internet is,2,0,2,3.8626166305430605,4.661549728512333
irma is,2,0,2,3.8626166305430605,4.661549728512333
narrative is,2,0,2,3.8626166305430605,4.661549728512333
ocare is,2,0,2,3.8626166305430605,4.661549728512333
he cried,2,0,2,7.225911856314942,4.6608453725986605
be careful,4,0,2,6.946777605558685,4.658454121804641
i met,2,0,2,3.283070130926402,4.658333932537004
such time,2,0,2,3.0312349952922926,4.657610101737187
will fix,3,0,2,2.6727922164370876,4.655941319322277
the history,12,0,2,1.4812471132582141,4.654087494979512
races this,2,0,2,7.215272284628188,4.6540189200888165
solves this,2,0,2,7.215272284628188,4.6540189200888165
were made,2,0,2,3.0181100904400022,4.653701579410211
DACA by,2,0,2,3.075779291237958,4.651645806667817
will end,4,0,2,2.309351691637907,4.651468679245491
who work,3,0,2,2.5601341711327654,4.649934187929611
at 1,2,0,2,3.1609929841547744,4.6473273431456645
right up,2,0,2,3.02439743867971,4.64506141781877
it sounds,3,0,2,7.025101637044891,4.644540841237919
very active,2,0,2,7.197785628341638,4.642798251161099
very disappointed,2,0,2,7.197785628341638,4.642798251161099
today in,7,0,2,1.7811633073484736,4.642293841262159
democrats must,3,0,2,2.5400887246333257,4.641102010493459
are created,2,0,2,3.3000660119397085,4.636425504974676
are helping,2,0,2,3.3000660119397085,4.636425504974676
day i,3,0,2,2.5473978345475166,4.635018530814326
of this,19,0,2,1.0926718801953612,4.634995945615164
who participated,2,0,2,7.184011592808591,4.633958946723684
why so,3,0,2,2.5391797954958166,4.63372900399324
is FAIR,2,0,2,4.145714612578885,4.6326207184113235
is WEAK,2,0,2,4.145714612578885,4.6326207184113235
is dirty,2,0,2,4.145714612578885,4.6326207184113235
is merely,2,0,2,4.145714612578885,4.6326207184113235
plan for,3,0,2,2.7035536853370283,4.631038339581765
crazy with,2,0,2,3.262729163605149,4.6296074962707445
democrats don’t,2,0,2,3.0124569983077913,4.628272478860694
at 9pme,3,0,2,6.996200326123907,4.625492732956554
nation in,4,0,2,2.367240724758012,4.622649060201314
fueled by,2,0,2,7.1536916349593245,4.614498741439028
for #puertorico,2,0,2,3.5225277226136615,4.614167295573312
for israel,2,0,2,3.5225277226136615,4.614167295573312
how i,3,0,2,2.5348847391879703,4.613444246615599
going way,2,0,2,2.991333718047704,4.610876851746993
if i,4,0,2,2.225126832978517,4.609063784633319
great meetings,3,0,2,2.603147549758937,4.608590937077189
so indignant,2,0,2,7.143784357596146,4.608139160116644
of virginia,4,0,2,2.469854101682396,4.607994928538557
